date,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,Station Name,Latitude,Longitude,Elevation
2019-05-14,22.0,30.4,25.4,80.0,0.0,7.4,1.0,210.0,1.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-05-09,21.0,28.4,24.6,82.0,0.0,7.0,2.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-05-04,21.4,28.8,24.9,78.0,0.0,5.1,2.0,40.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-04-19,21.4,29.4,24.7,84.0,0.2,7.6,2.0,90.0,1.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-04-09,20.8,28.2,24.3,90.0,58.0,7.6,2.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-04-04,20.8,27.6,22.6,90.0,0.0,6.5,1.0,360.0,1.0,S ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-03-30,20.2,29.0,23.2,76.0,0.0,4.2,2.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-03-25,21.2,29.0,24.2,86.0,0.7,0.5,3.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-03-20,20.2,27.8,23.9,89.0,24.0,4.8,2.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-03-10,20.4,28.0,24.0,85.0,0.0,6.6,2.0,90.0,1.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-03-05,21.0,28.0,23.2,85.0,50.0,3.5,3.0,90.0,1.0,W ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-02-23,19.4,27.2,23.9,85.0,22.0,5.0,1.0,180.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-02-18,20.0,28.5,23.6,85.0,4.0,6.0,2.0,90.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-02-13,20.0,29.0,24.0,78.0,0.0,2.0,3.0,360.0,2.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-02-08,21.0,27.2,23.4,91.0,57.5,5.5,2.0,90.0,1.0,S ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-02-03,20.0,27.6,23.7,87.0,21.0,4.3,2.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-01-09,21.2,29.8,26.0,78.0,0.0,6.2,3.0,180.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2018-10-31,22.0,31.4,27.1,60.0,0.0,9.4,2.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2018-10-26,20.0,32.6,26.8,60.0,0.0,9.0,1.0,180.0,1.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2018-10-21,21.0,31.0,25.6,70.0,0.0,6.2,2.0,10.0,1.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2018-10-16,21.0,32.4,26.7,64.0,0.0,9.2,2.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2018-10-11,18.0,32.0,25.4,72.0,0.0,9.0,3.0,90.0,2.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2018-10-01,20.0,31.2,25.9,69.0,0.0,9.0,2.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2018-09-26,20.0,31.8,25.7,61.0,0.0,9.0,2.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2018-09-21,21.0,32.2,24.9,59.0,0.0,3.1,3.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2018-09-16,19.0,29.6,24.5,66.0,0.0,8.6,5.0,90.0,3.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
